winery,wine,year,rating,num_reviews,region,price,type,body,acidity
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2018.0,4.6,3239,Ribera del Duero,89.3,Ribera Del Duero Red,5.0,3.0
Alion,Ribera del Duero,2017.0,4.6,2208,Ribera del Duero,79.9,Ribera Del Duero Red,5.0,3.0
Dominio de Pingus,Flor de Pingus,2018.0,4.6,1363,Ribera del Duero,129.95,Ribera Del Duero Red,5.0,3.0
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2019.0,4.6,1108,Ribera del Duero,76.95,Ribera Del Duero Red,5.0,3.0
Carmelo Rodero,Pago De Valtarrena,2015.0,4.6,700,Ribera del Duero,49.95,Ribera Del Duero Red,5.0,3.0
Emilio Moro,Malleolus de Sanchomartin,2011.0,4.6,693,Ribera del Duero,125.0,Ribera Del Duero Red,5.0,3.0
Emilio Moro,Malleolus de Valderramiro,2015.0,4.6,516,Ribera del Duero,75.0,Ribera Del Duero Red,5.0,3.0
Pago de Carraovejas,Cuesta de Las Liebres,2010.0,4.6,405,Ribera del Duero,81.5,Ribera Del Duero Red,5.0,3.0
Dominio del Bendito,El Titan del Bendito,2015.0,4.6,388,Toro,43.5,Toro Red,5.0,3.0
Emilio Moro,Malleolus de Sanchomartin,2015.0,4.6,369,Ribera del Duero,99.0,Ribera Del Duero Red,5.0,3.0
Bodegas Mauro,Terreus Paraje de Cueva Baja,2015.0,4.6,313,Castilla y Leon,94.95,Tempranillo,4.0,2.0
Bodegas Mauro,Terreus Paraje de Cueva Baja,2016.0,4.6,304,Castilla y Leon,89.0,Tempranillo,4.0,2.0
Vinedos de Paganos,La Nieta,2017.0,4.6,286,Rioja,108.21,Rioja Red,4.0,3.0
Marques de Murrieta,Dalmau Rioja,2017.0,4.6,222,Rioja,85.7,Rioja Red,4.0,3.0
Sierra Cantabria,Finca el Bosque,2015.0,4.6,214,Rioja,79.9,Rioja Red,4.0,3.0
Vina Sastre,Pago de Santa Cruz,2018.0,4.6,211,Ribera del Duero,68.7,Ribera Del Duero Red,5.0,3.0
Carmelo Rodero,Pago De Valtarrena,2016.0,4.6,200,Ribera del Duero,48.95,Ribera Del Duero Red,5.0,3.0
Pago de Los Capellanes,Parcela El Picon Tinto,2014.0,4.6,197,Ribera del Duero,109.41,Ribera Del Duero Red,5.0,3.0
Emilio Moro,Malleolus de Sanchomartin,2014.0,4.6,186,Ribera del Duero,119.0,Ribera Del Duero Red,5.0,3.0
Pago de Los Capellanes,Parcela El Picon Tinto,2012.0,4.6,165,Ribera del Duero,89.0,Ribera Del Duero Red,5.0,3.0
Casa Castillo,Cuvee N Vinas Viejas,2015.0,4.6,160,Jumilla,73.0,Red,4.0,3.0
Bodegas San Roman,Cartago Paraje de Pozo,2014.0,4.6,153,Toro,61.69,Toro Red,5.0,3.0
Bodegas Mauro,VS,2018.0,4.6,136,Castilla y Leon,58.9,Tempranillo,4.0,2.0
Vinas del Vero,Blecua Somontano,2013.0,4.6,135,Somontano,69.9,Red,4.0,3.0
Bodegas Mauro,Terreus Paraje de Cueva Baja,2018.0,4.6,128,Castilla y Leon,88.05,Tempranillo,4.0,2.0
Arzuaga,Amaya Arzuaga (Coleccion),2016.0,4.6,123,Ribera del Duero,64.9,Ribera Del Duero Red,5.0,3.0
Bodegas Mas Alta,La Creu Alta,2013.0,4.6,116,Priorato,89.17,Priorat Red,4.0,3.0
Dominio de Calogia,Tinto,2019.0,4.6,114,Ribera del Duero,67.94,Ribera Del Duero Red,5.0,3.0
Tomas Postigo,5o Ano Ribera del Duero Tinto,2016.0,4.6,113,Ribera del Duero,44.0,Ribera Del Duero Red,5.0,3.0
Cal Pla,Planots Priorat,2010.0,4.6,112,Priorato,87.02,Priorat Red,4.0,3.0
Dominio del Bendito,El Titan del Bendito,2018.0,4.6,111,Toro,49.95,Toro Red,5.0,3.0
Ossian,Capitel,2018.0,4.6,107,Castilla y Leon,50.51,Verdejo,3.0,3.0
Alto Moncayo,Aquilon Garnacha,2015.0,4.6,105,Campo de Borja,120.9,Grenache,5.0,3.0
Cepa 21,Horcajo,2015.0,4.6,100,Ribera del Duero,75.3,Ribera Del Duero Red,5.0,3.0
Carmelo Rodero,Pago De Valtarrena,2018.0,4.6,99,Ribera del Duero,47.5,Ribera Del Duero Red,5.0,3.0
Bodegas Vilano,Tinto,2019.0,4.6,97,Ribera del Duero,43.5,Ribera Del Duero Red,5.0,3.0
Allende,Aurus,2005.0,4.6,95,Rioja,136.0,Rioja Red,4.0,3.0
Costers del Siurana,Dolc de L'Obac,2006.0,4.6,94,Priorato,117.239420060872,Rioja Red,4.158426788816932,2.946611909650924
Pago de Los Capellanes,Parcela El Picon Tinto,2011.0,4.6,93,Ribera del Duero,135.0,Ribera Del Duero Red,5.0,3.0
Remirez de Ganuza,Trasnocho,2013.0,4.6,91,Rioja,82.5,Rioja Red,4.0,3.0
Pago de Los Capellanes,Doroteo Edicion Especial 25 Aniversario,2015.0,4.6,86,Ribera del Duero,59.0,Ribera Del Duero Red,5.0,3.0
Bodegas Valduero,Tierra Alta de 2 Racimos Gran Reserva,2011.0,4.6,85,Ribera del Duero,82.5,Ribera Del Duero Red,5.0,3.0
Arzuaga,Reserva Especial Ribera del Duero,2016.0,4.6,83,Ribera del Duero,54.5,Ribera Del Duero Red,5.0,3.0
Hacienda Monasterio,Reserva Especial,2015.0,4.6,80,Ribera del Duero,79.1,Ribera Del Duero Red,5.0,3.0
Castillo Perelada,Finca Garbet,2014.0,4.6,75,Emporda,99.0,Syrah,4.0,3.0
Recaredo,Reserva Particular de Recaredo Brut Nature,2008.0,4.6,69,Cava,74.9,Cava,2.0,3.0
Hacienda Monasterio,Reserva,2017.0,4.6,64,Ribera del Duero,50.0,Ribera Del Duero Red,5.0,3.0
Ysios,Finca Las Naves,2016.0,4.6,63,Rioja,126.64,Rioja Red,4.0,3.0
Contino,Vina del Olivo,2001.0,4.6,60,Rioja,81.0,Rioja Red,4.0,3.0
Marques de Murrieta,Dalmau Rioja,2001.0,4.6,59,Rioja,121.0,Rioja Red,4.0,3.0
Alto Moncayo,Aquilon Garnacha,2016.0,4.6,58,Campo de Borja,120.9,Grenache,5.0,3.0
Hacienda Solano,Pena Lobera,2016.0,4.6,57,Ribera del Duero,65.95,Ribera Del Duero Red,5.0,3.0
Bodegas Mas Alta,La Creu Alta,2014.0,4.6,53,Priorato,86.0,Priorat Red,4.0,3.0
Francisco Garcia Perez,Adega do Moucho Treixadura,2017.0,4.6,53,Ribeiro,34.5,Rioja Red,4.158426788816932,2.946611909650924
Castano,Casa Cisca Monastrell,2016.0,4.6,49,Yecla,35.0,Monastrell,5.0,3.0
Castillo de Cuzcurrita,Cerrado del Castillo Rioja,2016.0,4.6,47,Rioja,52.95,Rioja Red,4.0,3.0
Oxer Wines,Kalamity Rioja,2018.0,4.6,46,Rioja,114.95,Rioja Red,4.0,3.0
Bodegas Yuste,Conde de Aldama Amontillado,1998.5,4.6,46,Jerez-Xeres-Sherry,89.9,Sherry,4.0,3.0
Bodegas 6o Elemento - Vino Sexto Elemento,Respeto,2015.0,4.6,45,Utiel-Requena,29.35,Red,4.0,3.0
Proyecto Garnachas de Espana,El Garnacho Viejo de la Familia Acha,2014.0,4.6,45,Rioja,79.9,Rioja Red,4.0,3.0
Matarromera,Ribera del Duero Prestigio,2016.0,4.6,45,Ribera del Duero,53.95,Ribera Del Duero Red,5.0,3.0
Hacienda Monasterio,Reserva Especial,2016.0,4.6,41,Ribera del Duero,85.63,Ribera Del Duero Red,5.0,3.0
Vall Llach,Idus,2020.0,4.6,41,Priorato,34.3,Priorat Red,4.0,3.0
Sierra Cantabria,Amancio,2017.0,4.6,40,Rioja,85.95,Rioja Red,4.0,3.0
Sierra Cantabria,Finca el Bosque,2002.0,4.6,38,Rioja,128.0,Rioja Red,4.0,3.0
Descendientes de J. Palacios,Valdafoz Bierzo (Corullon),2011.0,4.6,38,Bierzo,135.5,Mencia,3.0,3.0
Ukan Winery,Tinto,2019.0,4.6,38,Rioja Alavesa,40.5,Rioja Red,4.0,3.0
Finca Moncloa,Tintilla de Rota,2017.0,4.6,37,Cadiz,43.1,Rioja Red,4.158426788816932,2.946611909650924
Bodegas Mas Alta,La Creu Alta,2017.0,4.6,36,Priorato,85.0,Priorat Red,4.0,3.0
Vina Real,Rioja Gran Reserva,1986.0,4.6,35,Rioja,123.0,Rioja Red,4.0,3.0
Dominio de Atauta,Valdegatiles Ribera del Duero,2012.0,4.6,34,Ribera del Duero,106.35,Ribera Del Duero Red,5.0,3.0
Micro Bio (MicroBio),Respublica Verdejo,2016.0,4.6,33,Vino de Espana,75.95,Verdejo,3.0,3.0
Finca Torremilanos,Torremilanos Coleccion Ribera del Duero,2016.0,4.6,32,Ribera del Duero,40.45,Ribera Del Duero Red,5.0,3.0
Huerta de Albala,Taberner No. 1,2013.0,4.6,32,Cadiz,79.9,Red,4.0,3.0
Gomez Cruzado,Vina Motulleri,2011.0,4.6,30,Rioja,79.0,Rioja Red,4.0,3.0
Abadia Retuerta,Cuvee Palomar,2017.0,4.6,30,Sardon de Duero,58.9,Red,4.0,3.0
Dominio de Atauta,Valdegatiles Ribera del Duero,2013.0,4.6,29,Ribera del Duero,111.9,Ribera Del Duero Red,5.0,3.0
Bodegas 6o Elemento - Vino Sexto Elemento,Respeto,2017.0,4.6,29,Utiel-Requena,29.95,Red,4.0,3.0
Enate,Uno Tinto,2010.0,4.6,28,Somontano,129.9,Red,4.0,3.0
Benjamin de Rothschild - Vega Sicilia,Macan,2017.0,4.6,28,Rioja,69.95,Rioja Red,4.0,3.0
Bodegas Aragonesas,Galiano Seleccion Especial,2013.0,4.6,28,Campo de Borja,99.95,Red,4.0,3.0
Telmo Rodriguez,Molino Real,2016.0,4.6,28,Malaga,41.69,Rioja Red,4.158426788816932,2.946611909650924
Tomas Postigo,5o Ano Ribera del Duero Tinto,2017.0,4.6,27,Ribera del Duero,46.45,Ribera Del Duero Red,5.0,3.0
Acustic Celler,Etern Vinyes Molt Velles,2016.0,4.6,26,Priorato,42.5,Priorat Red,4.0,3.0
Vina Pedrosa,40 Aniversario Gran Reserva,2012.0,4.6,25,Ribera del Duero,95.0,Ribera Del Duero Red,5.0,3.0
Recaredo,Corpinnat Enoteca Reserva Particular de Recaredo,2004.0,4.6,25,Cataluna,130.0,Sparkling,2.0,3.0
Pago de Carraovejas,Tinto,2016.0,4.5,7529,Ribera del Duero,29.8,Ribera Del Duero Red,5.0,3.0
Alion,Ribera del Duero,2013.0,4.5,7435,Ribera del Duero,73.0,Ribera Del Duero Red,5.0,3.0
Alion,Ribera del Duero,2014.0,4.5,7237,Ribera del Duero,56.27,Ribera Del Duero Red,5.0,3.0
Pintia,Toro,2014.0,4.5,5863,Toro,69.0,Toro Red,5.0,3.0
Pago de Carraovejas,Tinto,2018.0,4.5,5372,Ribera del Duero,45.0,Ribera Del Duero Red,5.0,3.0
Alion,Ribera del Duero,2015.0,4.5,5365,Ribera del Duero,75.0,Ribera Del Duero Red,5.0,3.0
Pintia,Toro,2015.0,4.5,4979,Toro,69.8,Toro Red,5.0,3.0
Pago de Carraovejas,Tinto,2017.0,4.5,4935,Ribera del Duero,121.936825872994,Ribera Del Duero Red,5.0,3.0
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2016.0,4.5,4411,Ribera del Duero,78.65,Ribera Del Duero Red,5.0,3.0
La Rioja Alta,Gran Reserva 890,2005.0,4.5,3443,Rioja,125.0,Rioja Red,4.0,3.0
Pintia,Toro,2016.0,4.5,3118,Toro,40.41,Toro Red,5.0,3.0
Dominio de Pingus,Flor de Pingus,2016.0,4.5,2887,Ribera del Duero,101.94,Ribera Del Duero Red,5.0,3.0
Bodegas El Nido,Clio,2015.0,4.5,2712,Jumilla,33.2,Red,4.0,3.0
Dominio de Pingus,Flor de Pingus,2014.0,4.5,2710,Ribera del Duero,125.0,Ribera Del Duero Red,5.0,3.0
Dominio de Pingus,Flor de Pingus,2010.0,4.5,2551,Ribera del Duero,125.0,Ribera Del Duero Red,5.0,3.0
Dominio de Pingus,Flor de Pingus,2015.0,4.5,2530,Ribera del Duero,125.0,Ribera Del Duero Red,5.0,3.0
Bodegas El Nido,Clio,2016.0,4.5,2228,Jumilla,31.75,Red,4.0,3.0
Bodegas El Nido,Clio,2017.0,4.5,2220,Jumilla,39.5,Red,4.0,3.0
Aalto,PS (Pagos Seleccionados) Ribera del Duero,2011.0,4.5,2207,Ribera del Duero,64.0,Ribera Del Duero Red,5.0,3.0
Pago de Carraovejas,Tinto,2019.0,4.5,2144,Ribera del Duero,33.8,Ribera Del Duero Red,5.0,3.0
Benjamin de Rothschild - Vega Sicilia,Macan,2014.0,4.5,1910,Rioja,58.95,Rioja Red,4.0,3.0
Aalto,Tinto,2018.0,4.5,1864,Ribera del Duero,33.25,Ribera Del Duero Red,5.0,3.0
Bodegas El Nido,Clio,2018.0,4.5,1520,Jumilla,61.8491765262698,Red,4.0,3.0
Alto Moncayo,Garnacha,2017.0,4.5,1503,Campo de Borja,44.27,Grenache,5.0,3.0
Pago de Los Capellanes,Parcela El Nogal Tinto,2015.0,4.5,1393,Ribera del Duero,45.9,Ribera Del Duero Red,5.0,3.0
Benjamin de Rothschild - Vega Sicilia,Macan,2015.0,4.5,1345,Rioja,68.9,Rioja Red,4.0,3.0
Belondrade,Belondrade y Lurton,2018.0,4.5,1192,Rueda,32.85,Verdejo,3.0,3.0
Pago de Los Capellanes,Parcela El Nogal Tinto,2014.0,4.5,1163,Ribera del Duero,40.95,Ribera Del Duero Red,5.0,3.0
Pago de Carraovejas,Reserva,2014.0,4.5,1148,Ribera del Duero,69.5803235920536,Ribera Del Duero Red,5.0,3.0
Dominio de Pingus,Flor de Pingus,2017.0,4.5,1094,Ribera del Duero,110.0,Ribera Del Duero Red,5.0,3.0
Remirez de Ganuza,Rioja Reserva,2012.0,4.5,1089,Rioja,49.75,Rioja Red,4.0,3.0
Muga,Prado Enea Gran Reserva,2014.0,4.5,1014,Rioja,51.0,Rioja Red,4.0,3.0
Remirez de Ganuza,Rioja Reserva,2011.0,4.5,1012,Rioja,59.9,Rioja Red,4.0,3.0
Belondrade,Belondrade y Lurton,2019.0,4.5,961,Rueda,37.7,Verdejo,3.0,3.0
Bodegas Tradicion,Pedro Ximenez Tradicion 20 Years Old Vos,2015.5,4.5,854,Jerez Pedro Ximenes (PX),68.9,Pedro Ximenez,5.0,1.0
Muga,Torre Muga,2016.0,4.5,838,Rioja,70.5,Rioja Red,4.0,3.0
Benjamin de Rothschild - Vega Sicilia,Macan,2016.0,4.5,813,Rioja,64.0,Rioja Red,4.0,3.0
Clos Mogador,Priorat,2017.0,4.5,666,Priorato,65.0,Priorat Red,4.0,3.0
Marques de Murrieta,Dalmau Rioja,2014.0,4.5,642,Rioja,67.6,Rioja Red,4.0,3.0
Hacienda Monasterio,Reserva,2015.0,4.5,629,Ribera del Duero,53.95,Ribera Del Duero Red,5.0,3.0
Pago de Los Capellanes,Parcela El Nogal Tinto,2016.0,4.5,595,Ribera del Duero,42.95,Ribera Del Duero Red,5.0,3.0
La Rioja Alta,Gran Reserva 890,1995.0,4.5,574,Rioja,127.23,Rioja Red,4.0,3.0
Bodegas El Nido,Clio,2019.0,4.5,550,Jumilla,47.3,Red,4.0,3.0
Remirez de Ganuza,Gran Reserva,2007.0,4.5,529,Rioja,121.838963251908,Rioja Red,4.0,3.0
Senorio de San Vicente,San Vicente Rioja,2017.0,4.5,505,Rioja,34.8,Rioja Red,4.0,3.0
Carmelo Rodero,Ribera del Duero TSM,2017.0,4.5,503,Ribera del Duero,55.35,Ribera Del Duero Red,5.0,3.0
Vina Sastre,Pago de Santa Cruz,2016.0,4.5,501,Ribera del Duero,75.95,Ribera Del Duero Red,5.0,3.0
Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos,2011.0,4.5,500,Ribera del Duero,48.7,Ribera Del Duero Red,5.0,3.0
Remirez de Ganuza,Trasnocho,2012.0,4.5,499,Rioja,118.89,Rioja Red,4.0,3.0
Costers del Siurana,Clos de L'Obac,2005.0,4.5,493,Priorato,92.8716274104906,Priorat Red,4.0,3.0
Arzuaga,Reserva Ribera del Duero,2017.0,4.5,477,Ribera del Duero,31.8,Ribera Del Duero Red,5.0,3.0
Francisco Barona,Ribera Del Duero,2018.0,4.5,462,Ribera del Duero,35.85,Ribera Del Duero Red,5.0,3.0
Vina Sastre,Pago de Santa Cruz,2015.0,4.5,420,Ribera del Duero,82.95,Ribera Del Duero Red,5.0,3.0
Bodegas Valduero,Ribera Del Duero Reserva Premium 6 Anos,2012.0,4.5,406,Ribera del Duero,59.0,Ribera Del Duero Red,5.0,3.0
Juan Gil,Bruto,2018.0,4.5,384,Jumilla,37.7,Monastrell,5.0,3.0
Lan,Culmen Reserva Rioja,2015.0,4.5,365,Rioja,42.75,Rioja Red,4.0,3.0
Clos Mogador,Priorat,2018.0,4.5,336,Priorato,61.64,Priorat Red,4.0,3.0
Juan Gil,Bruto,2017.0,4.5,322,Jumilla,30.7,Monastrell,5.0,3.0
Bodegas Mauro,VS,2017.0,4.5,318,Castilla y Leon,56.5,Tempranillo,4.0,2.0
Remirez de Ganuza,Trasnocho,2011.0,4.5,301,Rioja,110.5,Rioja Red,4.0,3.0
Hacienda Monasterio,Reserva,2016.0,4.5,297,Ribera del Duero,55.95,Ribera Del Duero Red,5.0,3.0
Abadia Retuerta,Petit Verdot,2015.0,4.5,286,Sardon de Duero,107.9,Red,4.0,3.0
Tomas Postigo,5o Ano Ribera del Duero Tinto,2011.0,4.5,264,Ribera del Duero,69.9,Ribera Del Duero Red,5.0,3.0
Dominio del Bendito,El Titan del Bendito,2017.0,4.5,261,Toro,49.5,Toro Red,5.0,3.0
Sierra Cantabria,Amancio,2012.0,4.5,246,Rioja,90.0,Rioja Red,4.0,3.0
Martinet,Clos Martinet,2014.0,4.5,230,Priorato,65.0,Priorat Red,4.0,3.0
Remirez de Ganuza,Trasnocho,2006.0,4.5,229,Rioja,95.0,Rioja Red,4.0,3.0
Adama Wines,Tinto,2009.0,4.5,229,Ribera del Duero,39.0,Ribera Del Duero Red,5.0,3.0
Milsetentayseis,Tinto,2018.0,4.5,218,Ribera del Duero,52.9,Ribera Del Duero Red,5.0,3.0
Vina Sastre,Pago de Santa Cruz,2017.0,4.5,217,Ribera del Duero,40.9,Ribera Del Duero Red,5.0,3.0
Tinto Pesquera,Millenium Gran Reserva,2015.0,4.5,213,Ribera del Duero,77.5,Ribera Del Duero Red,5.0,3.0
Vina Sastre,Regina Vides Ribera del Duero,2011.0,4.5,213,Ribera del Duero,116.0,Ribera Del Duero Red,5.0,3.0
Alvaro Palacios,Finca Dofi,2006.0,4.5,207,Priorato,75.0,Priorat Red,4.0,3.0
Arzuaga,Gran Reserva Ribera del Duero,2015.0,4.5,205,Ribera del Duero,80.98,Ribera Del Duero Red,5.0,3.0
Contino,Vina del Olivo,2017.0,4.5,203,Rioja,64.5,Rioja Red,4.0,3.0
Dominio de Pingus,Flor de Pingus,2019.0,4.5,201,Ribera del Duero,118.5,Ribera Del Duero Red,5.0,3.0
Ferrer Bobet,Seleccio Especial Vinyes Velles,2015.0,4.5,197,Priorato,64.0,Priorat Red,4.0,3.0
Clos Mogador,Priorat,2003.0,4.5,196,Priorato,95.0,Priorat Red,4.0,3.0
Allende,Calvario Rioja,2009.0,4.5,194,Rioja,125.97,Rioja Red,4.0,3.0
Matarromera,Ribera del Duero Prestigio,2015.0,4.5,190,Ribera del Duero,54.01,Ribera Del Duero Red,5.0,3.0
Vina Sastre,Regina Vides Ribera del Duero,2014.0,4.5,189,Ribera del Duero,104.9,Ribera Del Duero Red,5.0,3.0
Pazo Barrantes,Gran Vino Albarino,2019.0,4.5,188,Rias Baixas,34.9,Albarino,3.0,3.0
Arzuaga,Reserva Especial Ribera del Duero,2015.0,4.5,187,Ribera del Duero,51.5,Ribera Del Duero Red,5.0,3.0
Tio Pepe,Cuatro Palmas Amontillado,2015.5,4.5,186,Jerez Amontillado,112.26,Sherry,4.0,3.0
Abadia Retuerta,Pago Garduna,2016.0,4.5,186,Castilla y Leon,71.85,Syrah,4.0,3.0
Belondrade,Belondrade y Lurton,2020.0,4.5,184,Rueda,38.9,Verdejo,3.0,3.0
Pintia,Toro,2017.0,4.5,178,Toro,54.09,Toro Red,5.0,3.0
Bodega Contador (Benjamin Romeo),La Cueva del Contador Rioja,2017.0,4.5,174,Rioja,67.9,Rioja Red,4.0,3.0
Sierra Cantabria,Finca el Bosque,2016.0,4.5,173,Rioja,80.95,Rioja Red,4.0,3.0
Alvear,Solera 1830 Pedro Ximenez,2017.0,4.5,171,Montilla-Moriles,114.5,Pedro Ximenez,5.0,1.0
Bodega Contador (Benjamin Romeo),Que Bonito Cacareaba Blanco,2018.0,4.5,170,Rioja,50.34,Rioja White,3.0,3.0
Tomas Postigo,5o Ano Ribera del Duero Tinto,2014.0,4.5,165,Ribera del Duero,57.96,Ribera Del Duero Red,5.0,3.0
Marques de Riscal,Baron de Chirel Rioja Reserva,2016.0,4.5,163,Rioja,73.62,Rioja Red,4.0,3.0
Recaredo,Turo d'en Mota,2005.0,4.5,161,Cava,90.0,Cava,2.0,3.0
Sierra Cantabria,Amancio,2015.0,4.5,156,Rioja,89.95,Rioja Red,4.0,3.0
Vina Sastre,Regina Vides Ribera del Duero,2015.0,4.5,154,Ribera del Duero,92.8,Ribera Del Duero Red,5.0,3.0
Marques de Grinon,Emeritvs (Emeritus),2013.0,4.5,147,Dominio de Valdepusa,48.9,Red,4.0,3.0
Vina Sastre,Regina Vides Ribera del Duero,2016.0,4.5,144,Ribera del Duero,70.55,Ribera Del Duero Red,5.0,3.0
Recaredo,Turo d'en Mota,2006.0,4.5,142,Cava,110.0,Cava,2.0,3.0
Martinet,Cami Pesseroles,2009.0,4.5,141,Priorato,139.3,Priorat Red,4.0,3.0
Dominio del Aguila,Reserva,2018.0,4.5,141,Ribera del Duero,59.8,Ribera Del Duero Red,5.0,3.0
Sierra Cantabria,Amancio,2014.0,4.5,140,Rioja,75.0,Rioja Red,4.0,3.0
Cruz de Alba,Finca Los Hoyales Ribera del Duero,2015.0,4.5,140,Ribera del Duero,57.0,Ribera Del Duero Red,5.0,3.0
Emilio Rojo,Blanco,2017.0,4.5,134,Ribeiro,49.95,Rioja Red,4.158426788816932,2.946611909650924
Abadia Retuerta,Pago Garduna,2009.0,4.5,132,Castilla y Leon,73.6,Syrah,4.0,3.0
Bodegas Mas Alta,La Basseta,2013.0,4.5,132,Priorato,58.0,Priorat Red,4.0,3.0
Territorio Luthier,Territorio Luthier Reserva,2016.0,4.5,128,Ribera del Duero,54.0,Ribera Del Duero Red,5.0,3.0
Alion,Ribera del Duero,2018.0,4.5,128,Ribera del Duero,78.38,Ribera Del Duero Red,5.0,3.0
Costers del Siurana,Clos de L'Obac,2010.0,4.5,121,Priorato,81.3,Priorat Red,4.0,3.0
Vina Sastre,Pago de Santa Cruz Gran Reserva Ribera del Duero,2014.0,4.5,115,Ribera del Duero,54.9,Ribera Del Duero Red,5.0,3.0
Rafael Palacios,As Sortes Val do Bibei Godello,2020.0,4.5,115,Valdeorras,55.0,Rioja Red,4.158426788816932,2.946611909650924
Martinet,Cami Pesseroles,2010.0,4.5,113,Priorato,131.85,Priorat Red,4.0,3.0
Adama Wines,Tinto,2011.0,4.5,110,Ribera del Duero,39.0,Ribera Del Duero Red,5.0,3.0
Jesus Madrazo,Seleccion Rioja,2015.0,4.5,107,Rioja,67.1,Rioja Red,4.0,3.0
Bodegas Naluar & Acediano,Acediano,2015.0,4.5,104,Ribera del Duero,52.0,Ribera Del Duero Red,5.0,3.0
Marques de Caceres,Gaudium,2016.0,4.5,104,Rioja,34.9,Rioja Red,4.0,3.0
Dominio de Es,Vinas Viejas de Soria Ribera Del Duero,2017.0,4.5,103,Ribera del Duero,75.81,Ribera Del Duero Red,5.0,3.0
