winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity,price_log,num_reviews_log,acidity_squared
Alvaro Palacios,Les Terrasses Velles Vinyes Priorat,2017.0,4.2,1016,Espana,Priorato,85.9,Priorat Red,4.0,3.0,4.031582240485785,6.030685260261263,9.0
Familia Torres,Salmos,2017.0,4.2,1008,Espana,Priorato,20.99,Priorat Red,4.0,3.0,3.09058780456667,6.030685260261263,9.0
Bodega Numanthia,Numanthia,2013.0,4.2,998,Espana,Toro,51.19,Toro Red,4.0,3.0,3.9548909056553216,6.030685260261263,9.0
Alvaro Palacios,Les Terrasses Laderas de Pizarra,2016.0,4.2,970,Espana,Priorato,32.25,Priorat Red,4.0,3.0,3.504054767101863,6.030685260261263,9.0
Merum Priorati,Inici,2017.0,4.2,969,Espana,Priorato,39.0,Priorat Red,4.0,3.0,3.6888794541139363,6.030685260261263,9.0
Familia Torres,Mas La Plana Cabernet Sauvignon,2016.0,4.2,964,Espana,Penedes,56.26,Cabernet Sauvignon,4.0,3.0,4.031582240485785,6.030685260261263,9.0
Bodegas La Horra,Corimbo I,2011.0,4.2,918,Espana,Ribera del Duero,23.4,Ribera Del Duero Red,4.0,3.0,3.1945831322991562,6.030685260261263,9.0
Castillo Perelada,5 Finques (Fincas) Reserva,2017.0,4.2,918,Espana,Emporda,11.35,Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Bodegas La Horra,Corimbo I,2013.0,4.2,915,Espana,Ribera del Duero,37.5,Ribera Del Duero Red,4.0,3.0,3.6506582412937387,6.030685260261263,9.0
Quinta Sardonia,QS,2010.0,4.2,900,Espana,Castilla y Leon,40.76,Red,4.0,3.0,3.731938943574383,6.030685260261263,9.0
Martinet,Martinet Bru (Garnatxa - Syrah),2019.0,4.2,897,Espana,Priorato,21.9,Priorat Red,4.0,3.0,3.131136910560194,6.030685260261263,9.0
La Rioja Alta,Vina Ardanza Reserva,2000.0,4.2,883,Espana,Rioja,161.0,Rioja Red,4.0,3.0,4.031582240485785,6.030685260261263,9.0
Vinedos de Paganos,El Puntido,2013.0,4.2,879,Espana,Rioja,34.41,Rioja Red,4.0,3.0,3.566994266123812,6.030685260261263,9.0
Emilio Moro,Ribera del Duero,2019.0,4.2,876,Espana,Ribera del Duero,16.95,Ribera Del Duero Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Alvaro Palacios,Finca Dofi,2015.0,4.2,865,Espana,Priorato,52.5,Priorat Red,4.0,3.0,3.979681653901961,6.030685260261263,9.0
Protos,Reserva 5 Ano,2014.0,4.2,855,Espana,Ribera del Duero,19.53,Ribera Del Duero Red,4.0,3.0,3.0218872310308424,6.030685260261263,9.0
Bodegas Valduero,Ribera Del Duero Reserva,2012.0,4.2,852,Espana,Ribera del Duero,30.0,Ribera Del Duero Red,4.0,3.0,3.4339872044851463,6.030685260261263,9.0
Baluarte,Muscat,2015.0,4.2,842,Espana,Navarra,5.5,Rioja Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Marques de Riscal,Rioja Gran Reserva,2014.0,4.2,840,Espana,Rioja,35.63,Rioja Red,4.0,3.0,3.6008675767907232,6.030685260261263,9.0
Bodegas Roda,Roda Reserva Rioja,2017.0,4.2,834,Espana,Rioja,25.5,Rioja Red,4.0,3.0,3.2771447329921766,6.030685260261263,9.0
Bodegas Amaren,Angeles de Amaren Tempranillo - Graciano,2015.0,4.2,832,Espana,Rioja,19.38,Rioja Red,4.0,3.0,3.0145540277945786,6.030685260261263,9.0
Marques de Murrieta,Reserva Rioja (Finca Ygay),2017.0,4.2,811,Espana,Rioja,20.9,Rioja Red,4.0,3.0,3.086486636822455,6.030685260261263,9.0
Arzuaga,Ribera del Duero Crianza,2019.0,4.2,806,Espana,Ribera del Duero,18.5,Ribera Del Duero Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Marques de Riscal,Reserva XR,2015.0,4.2,778,Espana,Rioja,23.0,Rioja Red,4.0,3.0,3.1780538303479458,6.030685260261263,9.0
Familia Torres,Purgatori Costers del Segre,2016.0,4.2,778,Espana,Costers del Segre,38.37,Red,4.0,3.0,3.673004104955646,6.030685260261263,9.0
Familia Torres,Purgatori Costers del Segre,2017.0,4.2,777,Espana,Costers del Segre,25.5,Red,4.0,3.0,3.2771447329921766,6.030685260261263,9.0
Ramon Bilbao,Mirto,2012.0,4.2,776,Espana,Rioja,35.0,Rioja Red,4.0,3.0,3.58351893845611,6.030685260261263,9.0
Ossian,Vinas Viejas Verdejo,2015.0,4.2,769,Espana,Castilla y Leon,30.0,Verdejo,4.0,3.0,3.4339872044851463,6.030685260261263,9.0
Hispano Suizas,Bassus Pinot Noir,2017.0,4.2,753,Espana,Utiel-Requena,18.95,Red,4.0,3.0,2.9932291433358724,6.030685260261263,9.0
Murviedro,Sericis Cepas Viejas Monastrell,2017.0,4.2,745,Espana,Valencia,8.95,Monastrell,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Castillo Perelada,Finca Malaveina,2016.0,4.2,740,Espana,Emporda,25.35,Red,4.0,3.0,3.2714682749873716,6.030685260261263,9.0
Montecastro,Ribera del Duero Red,2018.0,4.2,733,Espana,Ribera del Duero,18.5,Ribera Del Duero Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Contino,Rioja Gran Reserva,2008.0,4.2,732,Espana,Rioja,36.0,Rioja Red,4.0,3.0,3.6109179126442243,6.030685260261263,9.0
Contino,Rioja Gran Reserva,2009.0,4.2,731,Espana,Rioja,85.8,Rioja Red,4.0,3.0,4.031582240485785,6.030685260261263,9.0
Hispano Suizas,Bassus Pinot Noir,2018.0,4.2,721,Espana,Utiel-Requena,19.25,Red,4.0,3.0,3.0081547935525483,6.030685260261263,9.0
Quinta Sardonia,QS,2007.0,4.2,707,Espana,Castilla y Leon,37.5,Red,4.0,3.0,3.6506582412937387,6.030685260261263,9.0
VALENCISO,Rioja Reserva,2014.0,4.2,696,Espana,Rioja,19.4,Rioja Red,4.0,3.0,3.0155349008501706,6.030685260261263,9.0
Gramona,Gessami,2015.0,4.2,692,Espana,Penedes,11.2,Rioja Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Remirez de Ganuza,Rioja Reserva Fincas de Ganuza,2014.0,4.2,684,Espana,Rioja,29.5,Rioja Red,4.0,3.0,3.417726683613366,6.030685260261263,9.0
Barahonda,Summum Monastrell,2017.0,4.2,682,Espana,Yecla,15.95,Monastrell,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Losada,Altos de Losada,2017.0,4.2,676,Espana,Bierzo,18.4,Mencia,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Alvaro Palacios,Finca Dofi,2014.0,4.2,671,Espana,Priorato,59.95,Priorat Red,4.0,3.0,4.031582240485785,6.030685260261263,9.0
El Coto,Coto de Imaz Rioja Gran Reserva,2015.0,4.2,668,Espana,Rioja,15.88,Rioja Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Matsu,El Viejo,2012.0,4.2,668,Espana,Toro,26.95,Toro Red,4.0,3.0,3.3304171996011083,6.030685260261263,9.0
Recaredo,Corpinnat Terrers Brut Nature,2017.0,4.2,667,Espana,Cava,25.0,Cava,4.0,3.0,3.258096538021482,6.030685260261263,9.0
Williams & Humbert,Dos Cortados Palo Cortado Solera Especial Aged 20 Years,2015.0,4.2,666,Espana,Jerez Palo Cortado,32.16,Sherry,4.0,3.0,3.501344330267094,6.030685260261263,9.0
Alvaro Palacios,Vi de Vila Gratallops,2015.0,4.2,648,Espana,Priorato,60.0,Priorat Red,4.0,3.0,4.031582240485785,6.030685260261263,9.0
Alvaro Palacios,Vi de Vila Gratallops,2014.0,4.2,647,Espana,Priorato,55.0,Priorat Red,4.0,3.0,4.02535169073515,6.030685260261263,9.0
Marques de Murrieta,Gran Reserva Rioja (Finca Ygay),2010.0,4.2,645,Espana,Rioja,86.95,Rioja Red,4.0,3.0,4.031582240485785,6.030685260261263,9.0
Tobia,Oscar Tobia Reserva Rioja,2015.0,4.2,633,Espana,Rioja,20.0,Rioja Red,4.0,3.0,3.044522437723423,6.030685260261263,9.0
Marques de Caceres,Rioja Satinela Blanco Semidulce,2020.0,4.2,630,Espana,Rioja,6.99,Rioja White,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Vina Pedrosa,Reserva,2012.0,4.2,628,Espana,Ribera del Duero,29.93,Ribera Del Duero Red,4.0,3.0,3.4317265866969784,6.030685260261263,9.0
Castillo Perelada,Finca Malaveina,2012.0,4.2,627,Espana,Emporda,17.84,Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Contino,Rioja Gran Reserva,2014.0,4.2,624,Espana,Rioja,34.5,Rioja Red,4.0,3.0,3.56953269648137,6.030685260261263,9.0
Bodegas Mauro,Red,2008.0,4.2,622,Espana,Castilla y Leon,55.0,Red,4.0,3.0,4.02535169073515,6.030685260261263,9.0
Portal del Priorat,Clos del Portal Negre de Negres,2017.0,4.2,612,Espana,Priorato,21.85,Priorat Red,4.0,3.0,3.128951117340214,6.030685260261263,9.0
Recaredo,Corpinnat Terrers Brut Nature,2016.0,4.2,611,Espana,Cava,21.8,Cava,4.0,3.0,3.126760535960395,6.030685260261263,9.0
Torre de Ona,Martelo Reserva,2014.0,4.2,600,Espana,Rioja,20.5,Rioja Red,4.0,3.0,3.068052935133617,6.030685260261263,9.0
Tinto Pesquera,Crianza,2019.0,4.2,599,Espana,Ribera del Duero,17.25,Ribera Del Duero Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Dehesa de Los Canonigos,Solideo,2015.0,4.2,592,Espana,Ribera del Duero,35.09,Ribera Del Duero Red,4.0,3.0,3.586015818654697,6.030685260261263,9.0
Sei Solo,Preludio,2017.0,4.2,591,Espana,Ribera del Duero,24.9,Ribera Del Duero Red,4.0,3.0,3.254242968705492,6.030685260261263,9.0
Diez Caballero,Reserva Tempranillo,2011.0,4.2,587,Espana,Rioja,20.4532878069468,Rioja Red,4.0,3.0,3.0658779113413352,6.030685260261263,9.0
Mas d'en Gil,Coma Vella Priorat,2014.0,4.2,576,Espana,Priorato,24.8,Priorat Red,4.0,3.0,3.250374491927572,6.030685260261263,9.0
Chozas Carrascal,Las Ocho (8) Tinto,2017.0,4.2,570,Espana,Utiel-Requena,16.767557,Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Vegalfaro,Pago de los Balagueses Syrah,2017.0,4.2,559,Espana,Utiel-Requena,17.7,Syrah,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Lopez Cristobal,Bagus Ribera del Duero,2012.0,4.2,559,Espana,Ribera del Duero,54.0,Ribera Del Duero Red,4.0,3.0,4.007333185232471,6.030685260261263,9.0
Clos Galena,Formiga de Vellut,2018.0,4.2,558,Espana,Priorato,16.2,Priorat Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Bodegas Valduero,Tierra Alta En 2 Maderas,2017.0,4.2,557,Espana,Ribera del Duero,19.9,Ribera Del Duero Red,4.0,3.0,3.039749158970765,6.030685260261263,9.0
Los Aguilares,Pago El Espino,2017.0,4.2,555,Espana,Sierras de Malaga,25.35,Red,4.0,3.0,3.2714682749873716,6.030685260261263,9.0
VALENCISO,Rioja Blanco,2018.0,4.2,540,Espana,Rioja,17.75,Rioja White,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Dehesa de Los Canonigos,Crianza,2018.0,4.2,528,Espana,Ribera del Duero,18.9,Ribera Del Duero Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Palacios Remondo,Propiedad  Rioja,2017.0,4.2,527,Espana,Rioja,25.9,Rioja Red,4.0,3.0,3.292126286607793,6.030685260261263,9.0
Dehesa de Los Canonigos,Crianza,2017.0,4.2,520,Espana,Ribera del Duero,18.25,Ribera Del Duero Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Bodegas Faustino,Reserva Especial Icon Edition,2014.0,4.2,519,Espana,Rioja,23.89,Rioja Red,4.0,3.0,3.2144661163795005,6.030685260261263,9.0
Fernando de Castilla,Antique Palo Cortado,2015.0,4.2,519,Espana,Jerez Palo Cortado,36.9,Sherry,4.0,3.0,3.6349511120883804,6.030685260261263,9.0
Matsu,El Viejo,2017.0,4.2,518,Espana,Toro,33.9,Toro Red,4.0,3.0,3.5524868292083815,6.030685260261263,9.0
Lan,Vina Lanciano Reserva,2015.0,4.2,514,Espana,Rioja,14.6,Rioja Red,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Anima Negra,An,2016.0,4.2,513,Espana,Mallorca,139.9,Red,4.0,3.0,4.031582240485785,6.030685260261263,9.0
Bodegas Mas Alta,Artigas,2017.0,4.2,505,Espana,Priorato,20.9,Priorat Red,4.0,3.0,3.086486636822455,6.030685260261263,9.0
Vinicola Real,200 Monges Rioja Reserva,2005.0,4.2,499,Espana,Rioja,48.0,Rioja Red,4.0,3.0,3.8918202981106265,6.030685260261263,9.0
Contino,Rioja Gran Reserva,2011.0,4.2,490,Espana,Rioja,39.5,Rioja Red,4.0,3.0,3.7013019741124933,6.030685260261263,9.0
Sei Solo,Preludio,2018.0,4.2,488,Espana,Ribera del Duero,24.5,Ribera Del Duero Red,4.0,3.0,3.2386784521643803,6.030685260261263,9.0
Williams & Humbert,Jalifa Amontillado Rare Old Dry Solera Especial Aged 30 Years,2015.0,4.2,487,Espana,Jerez Amontillado,33.5,Sherry,4.0,3.0,3.5409593240373143,6.030685260261263,9.0
Tridente,Rejon Tempranillo,2012.0,4.2,485,Espana,Castilla y Leon,36.97,Tempranillo,4.0,2.0,3.636796374243711,6.030685260261263,9.0
Emilio Moro,La Felisa,2018.0,4.2,483,Espana,Ribera del Duero,26.3,Ribera Del Duero Red,4.0,3.0,3.306886702190914,6.030685260261263,9.0
Emilio Moro,La Revelia Godello,2015.0,4.2,484,Espana,Bierzo,21.95,Rioja Red,4.0,3.0,3.133317936506554,6.030685260261263,9.0
Valderiz,Tinto,2018.0,4.2,481,Espana,Ribera del Duero,21.5,Ribera Del Duero Red,4.0,3.0,3.1135153092103742,6.030685260261263,9.0
Lan,A Mano Rioja,2009.0,4.2,480,Espana,Rioja,28.95,Rioja Red,4.0,3.0,3.3995293245614584,6.030685260261263,9.0
Familia Torres,Milmanda,2015.0,4.2,473,Espana,Conca de Barbera,126.2,Chardonnay,4.0,3.0,4.031582240485785,6.030685260261263,9.0
Terras Gauda,Terras Gauda O Rosal,2021.0,4.2,466,Espana,Rias Baixas,11.9,Albarino,4.0,3.0,2.990719731730447,6.030685260261263,9.0
Pazo Senorans,Seleccion de Anada Albarino Rias Baixas,2008.0,4.2,459,Espana,Rias Baixas,37.9,Albarino,4.0,3.0,3.6609942506244004,6.030685260261263,9.0
Muga,Seleccion Especial (Reserva),2004.0,4.2,447,Espana,Rioja,65.0,Rioja Red,4.0,3.0,4.031582240485785,6.030685260261263,9.0
Bohorquez,Reserva,2009.0,4.2,442,Espana,Ribera del Duero,21.65,Ribera Del Duero Red,4.0,3.0,3.120159851929043,6.030685260261263,9.0
Abadal,3.9,2016.0,4.2,441,Espana,Pla de Bages,22.95,Red,4.0,3.0,3.175968323856924,6.030685260261263,9.0
